geneID,transcriptID,geneName,exonID,classification,rownum,chr,start,stop,strand,type,gpc,tpc
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003543116,internal,948949,chr17,7223813,7223875,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003605361,internal,948950,chr17,7223968,7224069,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003584687,internal,948951,chr17,7224146,7224243,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003532887,internal,948952,chr17,7224321,7224393,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003478899,internal,948953,chr17,7224480,7224552,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003639449,internal,948954,chr17,7224642,7224714,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003647134,internal,948955,chr17,7224809,7224884,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00001375447,last,948956,chr17,7224957,7225265,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003476485,first,1537069,chr1,41160875,41160898,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003669611,internal,1537070,chr1,41159725,41159933,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00001146734,internal,1537071,chr1,41152599,41152741,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003526466,internal,1537072,chr1,41151614,41151684,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003693990,internal,1537073,chr1,41142878,41143112,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00000870127,internal,1537074,chr1,41116922,41117010,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00000768876,internal,1537075,chr1,41113283,41113526,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00000768714,internal,1537076,chr1,41075219,41075451,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00000768679,internal,1537077,chr1,41070595,41070721,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003561389,internal,1537078,chr1,41048690,41048890,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003619263,internal,1537079,chr1,41046407,41046598,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003469342,internal,1537080,chr1,41037362,41037541,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003690326,internal,1537081,chr1,41033983,41034048,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00003515629,internal,1537082,chr1,41028584,41028726,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000326197,SCMH1,ENSE00001190678,last,1537083,chr1,41027202,41028319,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00001458173,first,1537110,chr1,41242059,41242110,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003628096,internal,1537111,chr1,41186121,41186250,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003475050,internal,1537112,chr1,41161364,41161432,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003503603,internal,1537113,chr1,41160875,41160898,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003526466,internal,1537099,chr1,41151614,41151684,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003693990,internal,1537100,chr1,41142878,41143112,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00000870127,internal,1537101,chr1,41116922,41117010,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00000768876,internal,1537102,chr1,41113283,41113526,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00000768714,internal,1537103,chr1,41075219,41075451,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00000768679,internal,1537104,chr1,41070595,41070721,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003561389,internal,1537105,chr1,41048690,41048890,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003619263,internal,1537106,chr1,41046407,41046598,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003469342,internal,1537107,chr1,41037362,41037541,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00003515629,internal,1537108,chr1,41028584,41028726,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000337495,SCMH1,ENSE00001190678,last,1537109,chr1,41027202,41028319,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00003850245,first,1528888,chr2,55049745,55050451,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00003515856,internal,1528889,chr2,55028164,55028220,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00003529090,internal,1528890,chr2,55025086,55027485,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00001330486,internal,1528882,chr2,54987491,54987698,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00003671987,internal,1528883,chr2,54982515,54982653,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00000809957,internal,1528884,chr2,54974695,54974764,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00000809956,internal,1528885,chr2,54973821,54973867,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00003581476,internal,1528886,chr2,54973563,54973621,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000337526,RTN4,ENSE00001555275,last,1528887,chr2,54972189,54973198,-,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341222,CFLAR,ENSE00001253295,first,1313710,chr2,201116167,201116481,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341222,CFLAR,ENSE00002684918,internal,1313708,chr2,201129729,201130146,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341222,CFLAR,ENSE00003790546,internal,1313709,chr2,201133029,201133134,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341222,CFLAR,ENSE00003682105,internal,1313706,chr2,201135972,201136107,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341222,CFLAR,ENSE00003055759,internal,1313707,chr2,201140357,201140439,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341222,CFLAR,ENSE00001671465,last,1313711,chr2,201141374,201141598,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00001877784,first,1313718,chr2,201116207,201116481,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00002684918,internal,1313716,chr2,201129729,201130146,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00003790546,internal,1313717,chr2,201133029,201133134,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00003682105,internal,1313712,chr2,201135972,201136107,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00003055759,internal,1313713,chr2,201140357,201140439,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00003784075,internal,1313714,chr2,201149754,201149835,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00003513466,internal,1313715,chr2,201160432,201160942,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000341582,CFLAR,ENSE00001768912,last,1313719,chr2,201163835,201164279,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00001914733,first,1313727,chr2,201116239,201116481,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00002684918,internal,1313725,chr2,201129729,201130146,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00003790546,internal,1313726,chr2,201133029,201133134,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00003682105,internal,1313720,chr2,201135972,201136107,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00003055759,internal,1313721,chr2,201140357,201140439,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00003640229,internal,1313722,chr2,201145378,201145432,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00003651940,internal,1313723,chr2,201149003,201149052,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00003784075,internal,1313724,chr2,201149754,201149835,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000342795,CFLAR,ENSE00001862667,last,1313728,chr2,201154137,201154576,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00002699341,first,948986,chr17,7219863,7220046,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003628984,internal,948969,chr17,7220122,7220197,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003592784,internal,948970,chr17,7220604,7220676,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003678875,internal,948971,chr17,7220766,7220830,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003682500,internal,948972,chr17,7220924,7221058,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003623330,internal,948973,chr17,7221538,7221682,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003496224,internal,948974,chr17,7221952,7222081,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003498077,internal,948975,chr17,7222177,7222302,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003579906,internal,948976,chr17,7222667,7222865,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003626264,internal,948977,chr17,7223133,7223237,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003539847,internal,948978,chr17,7223644,7223730,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003495192,internal,948979,chr17,7223813,7223875,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003587027,internal,948980,chr17,7223968,7224069,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003650064,internal,948981,chr17,7224146,7224243,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003600063,internal,948982,chr17,7224321,7224393,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003624965,internal,948983,chr17,7224480,7224552,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003511252,internal,948984,chr17,7224642,7224714,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00003579637,internal,948985,chr17,7224809,7224884,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000350303,ACADVL,ENSE00002722283,last,948987,chr17,7224957,7225264,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00001486705,first,949052,chr17,7219938,7220046,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003628984,internal,949033,chr17,7220122,7220197,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003656333,internal,949034,chr17,7220464,7220529,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003592784,internal,949035,chr17,7220604,7220676,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003678875,internal,949036,chr17,7220766,7220830,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003682500,internal,949037,chr17,7220924,7221058,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003623330,internal,949038,chr17,7221538,7221682,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003496224,internal,949039,chr17,7221952,7222081,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003498077,internal,949040,chr17,7222177,7222302,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003579906,internal,949041,chr17,7222667,7222865,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003626264,internal,949042,chr17,7223133,7223237,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003539847,internal,949043,chr17,7223644,7223730,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003495192,internal,949044,chr17,7223813,7223875,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003587027,internal,949045,chr17,7223968,7224069,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003650064,internal,949046,chr17,7224146,7224243,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003600063,internal,949047,chr17,7224321,7224393,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003624965,internal,949048,chr17,7224480,7224552,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003511252,internal,949049,chr17,7224642,7224714,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003579637,internal,949050,chr17,7224809,7224884,+,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000356839,ACADVL,ENSE00003602696,last,949051,chr17,7224957,7225266,+,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00001518994,first,1528881,chr2,55049079,55049198,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00003549874,internal,1528878,chr2,55028164,55028220,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00003542139,internal,1528879,chr2,55025086,55027485,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00001330486,internal,1528873,chr2,54987491,54987698,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00003671987,internal,1528874,chr2,54982515,54982653,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00000809957,internal,1528875,chr2,54974695,54974764,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00000809956,internal,1528876,chr2,54973821,54973867,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00003581476,internal,1528877,chr2,54973563,54973621,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357376,RTN4,ENSE00001555275,last,1528880,chr2,54972189,54973198,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00001330411,first,1528905,chr2,55049745,55050544,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00003515856,internal,1528904,chr2,55028164,55028220,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00001330486,internal,1528898,chr2,54987491,54987698,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00003671987,internal,1528899,chr2,54982515,54982653,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00000809957,internal,1528900,chr2,54974695,54974764,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00000809956,internal,1528901,chr2,54973821,54973867,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00003581476,internal,1528902,chr2,54973563,54973621,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000357732,RTN4,ENSE00001555275,last,1528903,chr2,54972189,54973198,-,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00001184017,first,954382,chr19,13024888,13025552,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003634013,internal,954375,chr19,13073047,13073109,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003567637,internal,954376,chr19,13073422,13073496,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003525435,internal,954377,chr19,13073906,13074026,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003585342,internal,954378,chr19,13075535,13075671,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003591998,internal,954379,chr19,13081680,13081855,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003488314,internal,954380,chr19,13087989,13088136,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003636536,internal,954381,chr19,13090299,13090390,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000358552,NFIX,ENSE00003928402,last,954383,chr19,13094635,13094746,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00002823152,first,954336,chr19,13024580,13024680,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003674153,internal,954329,chr19,13025021,13025552,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003634013,internal,954330,chr19,13073047,13073109,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003567637,internal,954331,chr19,13073422,13073496,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003525435,internal,954332,chr19,13073906,13074026,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003585342,internal,954333,chr19,13075535,13075671,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003591998,internal,954334,chr19,13081680,13081855,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003673903,internal,954335,chr19,13090299,13090390,+,exon,protein_coding,protein_coding
ENSG00000008441,ENST00000360105,NFIX,ENSE00003524155,last,954337,chr19,13094635,13098796,+,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000372595,SCMH1,ENSE00001458168,first,1537095,chr1,41162779,41163017,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000372595,SCMH1,ENSE00003554892,internal,1537096,chr1,41161364,41161432,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000372595,SCMH1,ENSE00003476485,internal,1537084,chr1,41160875,41160898,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000372595,SCMH1,ENSE00003676021,internal,1537097,chr1,41151614,41151684,-,exon,protein_coding,protein_coding
ENSG00000010803,ENST00000372595,SCMH1,ENSE00003491976,internal,1537098,chr1,41142878,41143112,-,exon,protein_coding,protein_coding
