chromosome_name,exon_chrom_start,exon_chrom_end,strand,ensembl_gene_id,ensembl_transcript_id,gene_biotype,transcript_biotype,external_gene_name,rank,ensembl_exon_id
19,49808115,49808159,-1,ENSG00000010361,ENST00000529634,protein_coding,protein_coding,FUZ,3,ENSE00003019035
19,49806885,49807374,-1,ENSG00000010361,ENST00000529634,protein_coding,protein_coding,FUZ,4,ENSE00002146105
19,49811631,49811699,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,3,ENSE00003661417
19,49811363,49811467,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,4,ENSE00003532065
19,49809378,49809575,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,5,ENSE00003551816
19,49809163,49809258,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,6,ENSE00003636849
19,49808717,49808823,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,7,ENSE00003587933
19,49808574,49808638,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,8,ENSE00003516956
19,49808414,49808488,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,9,ENSE00003539309
19,49812996,49813175,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,1,ENSE00002145695
19,49812638,49812736,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,2,ENSE00003603035
19,49806890,49807374,-1,ENSG00000010361,ENST00000528094,protein_coding,protein_coding,FUZ,10,ENSE00002172294
19,49812251,49812335,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,3,ENSE00003510926
19,49811631,49811699,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,4,ENSE00003661417
19,49811363,49811467,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,5,ENSE00003532065
19,49809378,49809575,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,6,ENSE00003551816
19,49809163,49809258,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,7,ENSE00003636849
19,49808717,49808823,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,8,ENSE00003587933
19,49808574,49808638,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,9,ENSE00003516956
19,49808414,49808488,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,10,ENSE00003539309
19,49806890,49807374,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,11,ENSE00002172294
19,49813133,49813249,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,1,ENSE00002147156
19,49812615,49812736,-1,ENSG00000010361,ENST00000533418,protein_coding,protein_coding,FUZ,2,ENSE00003573525
19,49812615,49812736,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003529157
19,49811631,49811699,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003551160
19,49811363,49811467,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,4,ENSE00003574557
19,49809378,49809575,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,5,ENSE00003552756
19,49809163,49809258,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,6,ENSE00003627713
19,49808717,49808823,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,7,ENSE00003469612
19,49808574,49808638,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,8,ENSE00003510620
19,49812996,49813156,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002196896
19,49808414,49808491,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,9,ENSE00003586350
19,49806893,49807374,-1,ENSG00000010361,ENST00000525370,protein_coding,nonsense_mediated_decay,FUZ,10,ENSE00002163549
19,49811363,49811467,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,5,ENSE00003574557
19,49809378,49809575,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,6,ENSE00003552756
19,49809163,49809258,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,7,ENSE00003627713
19,49808717,49808823,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,8,ENSE00003469612
19,49808574,49808638,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,9,ENSE00003510620
19,49808414,49808488,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,10,ENSE00003488105
19,49812638,49812736,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003603035
19,49812996,49813273,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002153547
19,49812251,49812335,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003547908
19,49811631,49811699,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,4,ENSE00003639001
19,49806920,49807374,-1,ENSG00000010361,ENST00000377092,protein_coding,nonsense_mediated_decay,FUZ,11,ENSE00001802323
19,49808574,49808638,-1,ENSG00000010361,ENST00000534138,protein_coding,retained_intron,FUZ,2,ENSE00003510620
19,49808717,49808825,-1,ENSG00000010361,ENST00000534138,protein_coding,retained_intron,FUZ,1,ENSE00002185535
19,49808123,49808488,-1,ENSG00000010361,ENST00000534138,protein_coding,retained_intron,FUZ,3,ENSE00002152852
19,49809378,49809575,-1,ENSG00000010361,ENST00000527973,protein_coding,protein_coding_CDS_not_defined,FUZ,2,ENSE00003552756
19,49809163,49809258,-1,ENSG00000010361,ENST00000527973,protein_coding,protein_coding_CDS_not_defined,FUZ,3,ENSE00003627713
19,49808717,49808823,-1,ENSG00000010361,ENST00000527973,protein_coding,protein_coding_CDS_not_defined,FUZ,4,ENSE00003469612
19,49809714,49809865,-1,ENSG00000010361,ENST00000527973,protein_coding,protein_coding_CDS_not_defined,FUZ,1,ENSE00002170727
19,49808619,49808638,-1,ENSG00000010361,ENST00000527973,protein_coding,protein_coding_CDS_not_defined,FUZ,5,ENSE00002186922
19,49812251,49812335,-1,ENSG00000010361,ENST00000528043,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003510926
19,49811631,49811699,-1,ENSG00000010361,ENST00000528043,protein_coding,nonsense_mediated_decay,FUZ,4,ENSE00003661417
19,49813133,49813249,-1,ENSG00000010361,ENST00000528043,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002147156
19,49812615,49812736,-1,ENSG00000010361,ENST00000528043,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003573525
19,49811363,49811491,-1,ENSG00000010361,ENST00000528043,protein_coding,nonsense_mediated_decay,FUZ,5,ENSE00002180876
19,49809395,49809575,-1,ENSG00000010361,ENST00000528043,protein_coding,nonsense_mediated_decay,FUZ,6,ENSE00002199350
19,49811631,49811699,-1,ENSG00000010361,ENST00000531017,protein_coding,retained_intron,FUZ,4,ENSE00003639001
19,49812996,49813309,-1,ENSG00000010361,ENST00000531017,protein_coding,retained_intron,FUZ,1,ENSE00002719330
19,49812615,49812736,-1,ENSG00000010361,ENST00000531017,protein_coding,retained_intron,FUZ,2,ENSE00003571097
19,49812251,49812335,-1,ENSG00000010361,ENST00000531017,protein_coding,retained_intron,FUZ,3,ENSE00003486132
19,49811036,49811467,-1,ENSG00000010361,ENST00000531017,protein_coding,retained_intron,FUZ,5,ENSE00002181203
19,49811363,49811467,-1,ENSG00000010361,ENST00000527585,protein_coding,nonsense_mediated_decay,FUZ,4,ENSE00003574557
19,49812251,49812335,-1,ENSG00000010361,ENST00000527585,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003547908
19,49811631,49811699,-1,ENSG00000010361,ENST00000527585,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003639001
19,49812996,49813286,-1,ENSG00000010361,ENST00000527585,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002151385
19,49811631,49811699,-1,ENSG00000010361,ENST00000534008,protein_coding,protein_coding_CDS_not_defined,FUZ,4,ENSE00003639001
19,49812615,49812736,-1,ENSG00000010361,ENST00000534008,protein_coding,protein_coding_CDS_not_defined,FUZ,2,ENSE00003571097
19,49812251,49812335,-1,ENSG00000010361,ENST00000534008,protein_coding,protein_coding_CDS_not_defined,FUZ,3,ENSE00003486132
19,49812996,49813241,-1,ENSG00000010361,ENST00000534008,protein_coding,protein_coding_CDS_not_defined,FUZ,1,ENSE00002143614
19,49811365,49811491,-1,ENSG00000010361,ENST00000534008,protein_coding,protein_coding_CDS_not_defined,FUZ,5,ENSE00002147495
19,49811631,49811699,-1,ENSG00000010361,ENST00000529302,protein_coding,protein_coding,FUZ,5,ENSE00003661417
19,49817351,49817376,-1,ENSG00000010361,ENST00000529302,protein_coding,protein_coding,FUZ,1,ENSE00002168482
19,49813607,49813812,-1,ENSG00000010361,ENST00000529302,protein_coding,protein_coding,FUZ,2,ENSE00002158390
19,49812638,49812736,-1,ENSG00000010361,ENST00000529302,protein_coding,protein_coding,FUZ,3,ENSE00003474376
19,49812251,49812335,-1,ENSG00000010361,ENST00000529302,protein_coding,protein_coding,FUZ,4,ENSE00003667966
19,49811381,49811467,-1,ENSG00000010361,ENST00000529302,protein_coding,protein_coding,FUZ,6,ENSE00002147146
19,49812615,49812736,-1,ENSG00000010361,ENST00000526575,protein_coding,protein_coding,FUZ,2,ENSE00003529157
19,49811631,49811699,-1,ENSG00000010361,ENST00000526575,protein_coding,protein_coding,FUZ,3,ENSE00003551160
19,49812996,49813178,-1,ENSG00000010361,ENST00000526575,protein_coding,protein_coding,FUZ,1,ENSE00002147326
19,49811384,49811491,-1,ENSG00000010361,ENST00000526575,protein_coding,protein_coding,FUZ,4,ENSE00002187083
19,49811631,49811699,-1,ENSG00000010361,ENST00000525800,protein_coding,nonsense_mediated_decay,FUZ,4,ENSE00003639001
19,49812251,49812335,-1,ENSG00000010361,ENST00000525800,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003486132
19,49813133,49813235,-1,ENSG00000010361,ENST00000525800,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002192302
19,49812447,49812736,-1,ENSG00000010361,ENST00000525800,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003516512
19,49811431,49811467,-1,ENSG00000010361,ENST00000525800,protein_coding,nonsense_mediated_decay,FUZ,5,ENSE00002185216
19,49812251,49812335,-1,ENSG00000010361,ENST00000527111,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003486132
19,49812996,49813299,-1,ENSG00000010361,ENST00000527111,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002157972
19,49812447,49812736,-1,ENSG00000010361,ENST00000527111,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003476955
19,49812996,49813284,-1,ENSG00000010361,ENST00000526435,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00003122109
19,49812447,49812685,-1,ENSG00000010361,ENST00000526435,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00002172661
19,49812280,49812335,-1,ENSG00000010361,ENST00000526435,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00002196578
20,63499058,63499239,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,1,ENSE00003900026
20,63497620,63497834,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,2,ENSE00000856590
20,63495856,63496087,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,3,ENSE00003899950
20,63494805,63495101,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,4,ENSE00003815398
20,63493137,63493287,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,5,ENSE00003820184
20,63490479,63490735,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,6,ENSE00003901096
20,63488918,63489152,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,7,ENSE00003902894
20,63488013,63488425,-1,ENSG00000101210,ENST00000675519,protein_coding,nonsense_mediated_decay,EEF1A2,8,ENSE00003903512
20,63497620,63497834,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,2,ENSE00000856590
20,63499058,63499083,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,1,ENSE00003822954
20,63495856,63496035,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,3,ENSE00002475952
20,63494805,63495101,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,4,ENSE00000663463
20,63493137,63493287,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,5,ENSE00000663462
20,63490479,63490735,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,6,ENSE00000663461
20,63488918,63489152,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,7,ENSE00000663460
20,63488014,63488383,-1,ENSG00000101210,ENST00000706948,protein_coding,protein_coding,EEF1A2,8,ENSE00001251111
20,63497620,63497834,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,2,ENSE00000856590
20,63499058,63499083,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,1,ENSE00003822954
20,63495856,63496035,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,3,ENSE00002475952
20,63494805,63495101,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,4,ENSE00000663463
20,63493137,63493287,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,5,ENSE00000663462
20,63490479,63490735,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,6,ENSE00000663461
20,63488918,63489152,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,7,ENSE00000663460
20,63488014,63488425,-1,ENSG00000101210,ENST00000217182,protein_coding,protein_coding,EEF1A2,8,ENSE00003997564
20,63497620,63497834,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,2,ENSE00000856590
20,63499058,63499083,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,1,ENSE00003822954
20,63495856,63496035,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,3,ENSE00002475952
20,63494805,63495101,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,4,ENSE00000663463
20,63493137,63493287,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,5,ENSE00000663462
20,63490479,63490735,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,6,ENSE00000663461
20,63488918,63489152,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,7,ENSE00000663460
20,63488340,63488425,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,8,ENSE00003831203
20,63488014,63488152,-1,ENSG00000101210,ENST00000298049,protein_coding,non_stop_decay,EEF1A2,9,ENSE00003823419
20,63497620,63497834,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,2,ENSE00000856590
20,63499058,63499083,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,1,ENSE00003822954
20,63495856,63496035,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,3,ENSE00002475952
20,63494805,63495101,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,4,ENSE00000663463
20,63493137,63493287,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,5,ENSE00000663462
20,63490479,63490735,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,6,ENSE00000663461
20,63488918,63489152,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,7,ENSE00000663460
20,63488310,63488425,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,8,ENSE00003997563
20,63488015,63488181,-1,ENSG00000101210,ENST00000706949,protein_coding,protein_coding,EEF1A2,9,ENSE00003997562
20,63494805,63495101,-1,ENSG00000101210,ENST00000645586,protein_coding,retained_intron,EEF1A2,2,ENSE00003815398
20,63493137,63493287,-1,ENSG00000101210,ENST00000645586,protein_coding,retained_intron,EEF1A2,3,ENSE00003820184
20,63495856,63498748,-1,ENSG00000101210,ENST00000645586,protein_coding,retained_intron,EEF1A2,1,ENSE00003825489
20,63490081,63490735,-1,ENSG00000101210,ENST00000645586,protein_coding,retained_intron,EEF1A2,4,ENSE00003821932
20,63499058,63499083,-1,ENSG00000101210,ENST00000642899,protein_coding,protein_coding,EEF1A2,1,ENSE00003822954
20,63495856,63496035,-1,ENSG00000101210,ENST00000642899,protein_coding,protein_coding,EEF1A2,3,ENSE00002475952
20,63497620,63497928,-1,ENSG00000101210,ENST00000642899,protein_coding,protein_coding,EEF1A2,2,ENSE00003826477
20,63494905,63495101,-1,ENSG00000101210,ENST00000642899,protein_coding,protein_coding,EEF1A2,4,ENSE00003826581
20,63495856,63496035,-1,ENSG00000101210,ENST00000645357,protein_coding,protein_coding,EEF1A2,3,ENSE00002475952
20,63499058,63499177,-1,ENSG00000101210,ENST00000645357,protein_coding,protein_coding,EEF1A2,1,ENSE00003817527
20,63497620,63497803,-1,ENSG00000101210,ENST00000645357,protein_coding,protein_coding,EEF1A2,2,ENSE00003824795
20,63494968,63495101,-1,ENSG00000101210,ENST00000645357,protein_coding,protein_coding,EEF1A2,4,ENSE00003827880
20,63499058,63499184,-1,ENSG00000101210,ENST00000646335,protein_coding,protein_coding,EEF1A2,1,ENSE00003828331
20,63497620,63497783,-1,ENSG00000101210,ENST00000646335,protein_coding,protein_coding,EEF1A2,2,ENSE00003828993
20,63495862,63496035,-1,ENSG00000101210,ENST00000646335,protein_coding,protein_coding,EEF1A2,3,ENSE00003824803
20,63499058,63499185,-1,ENSG00000101210,ENST00000643976,protein_coding,retained_intron,EEF1A2,1,ENSE00003815403
20,63497454,63497834,-1,ENSG00000101210,ENST00000643976,protein_coding,retained_intron,EEF1A2,2,ENSE00003829615
19,15418911,15418988,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,1,ENSE00003693521
19,15410520,15410594,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,2,ENSE00003607658
19,15404010,15404042,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,3,ENSE00003547549
19,15403475,15403715,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,4,ENSE00003568503
19,15401150,15401603,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,5,ENSE00003575529
19,15400947,15401043,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,6,ENSE00003710027
19,15400794,15400864,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,7,ENSE00003707414
19,15400295,15400358,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,8,ENSE00003705303
19,15399302,15399410,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,9,ENSE00003703289
19,15397714,15397855,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,10,ENSE00003506012
19,15397520,15397625,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,11,ENSE00003567904
19,15397150,15397280,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,12,ENSE00003668730
19,15380517,15380612,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,13,ENSE00003606649
19,15380050,15380430,-1,ENSG00000011243,ENST00000397410,protein_coding,protein_coding,AKAP8L,14,ENSE00003487431
19,15418911,15418988,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,1,ENSE00003693521
19,15410520,15410594,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,2,ENSE00003607658
19,15404010,15404042,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,3,ENSE00003547549
19,15401150,15401603,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,6,ENSE00003575529
19,15400947,15401043,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,7,ENSE00003710027
19,15400794,15400864,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,8,ENSE00003707414
19,15400295,15400358,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,9,ENSE00003705303
19,15399302,15399410,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,10,ENSE00003703289
19,15403658,15403715,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,4,ENSE00003563914
19,15403475,15403555,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,5,ENSE00003706614
19,15398630,15398766,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,11,ENSE00003703829
19,15397714,15397855,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,12,ENSE00003705632
19,15397520,15397625,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,13,ENSE00003691758
19,15397150,15397280,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,14,ENSE00003608908
19,15380517,15380612,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,15,ENSE00003460078
19,15380050,15380430,-1,ENSG00000011243,ENST00000609519,protein_coding,nonsense_mediated_decay,AKAP8L,16,ENSE00003704999
19,15410520,15410594,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,2,ENSE00003607658
19,15404010,15404042,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,3,ENSE00003547549
19,15397520,15397625,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,12,ENSE00003691758
19,15397150,15397280,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,13,ENSE00003608908
19,15380517,15380612,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,14,ENSE00003460078
19,15380050,15380430,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,15,ENSE00003704999
19,15418911,15419020,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,1,ENSE00003167651
19,15403475,15403555,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,4,ENSE00003542049
19,15401150,15401603,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,5,ENSE00003471235
19,15400947,15401043,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,6,ENSE00003708987
19,15400794,15400864,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,7,ENSE00003706305
19,15400295,15400358,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,8,ENSE00003708890
19,15399302,15399410,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,9,ENSE00003702860
19,15398630,15398766,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,10,ENSE00003036159
19,15397714,15397855,-1,ENSG00000011243,ENST00000599137,protein_coding,nonsense_mediated_decay,AKAP8L,11,ENSE00003710652
19,15410520,15410594,-1,ENSG00000011243,ENST00000595465,protein_coding,protein_coding,AKAP8L,2,ENSE00003607658
19,15404010,15404042,-1,ENSG00000011243,ENST00000595465,protein_coding,protein_coding,AKAP8L,3,ENSE00003547549
19,15401150,15401603,-1,ENSG00000011243,ENST00000595465,protein_coding,protein_coding,AKAP8L,5,ENSE00003575529
